books_djvu_research_ioffe_ae01.docx,"Иоффе А.Е. Русско-французские отношения в 1917 г. (февраль-октябрь), 1958"
books_djvu_research_ioffe_gz03.docx,"Иоффе Г.З. Крах российской монархической контрреволюции, 1977"
books_djvu_research_ioffe_gz04.docx,"Иоффе Г.З. Революция и судьба Романовых, 1992"
books_djvu_research_ioffe_ya01.docx,"Иоффе Я.А. Блокада и народное хозяйство в мировую войну, 1929"
books_djvu_research_irving_d03.docx,Ирвинг Д. Разрушение Дрездена. Самая крупномасштабная бомбардировка Второй мировой войны. 1944— 1945 гг. 2005
books_djvu_research_isaeva_un01.docx,"Исаева Ю.Н. Лабиринты военного бизнеса, 1969"
books_djvu_research_ivanov_aa01.docx,"Иванов А.А. Психологическая война империализма против освободившихся стран, 1986"
books_djvu_research_ivanov_rf01.docx,"Иванов Р.Ф. Авраам Линкольн и Гражданская война в США, 2004"
books_djvu_research_ivanov_vg02.docx,"Иванов В.Г. Коричневая паутина (Из досье современного фашизма), 1985"
books_djvu_research_ivlev_yudenkov01.docx,Ивлев И.А. Юденков А.Ф. Оружием контрпропаганды Советская пропаганда среди населения оккупированной территории СССР. 1941—1944 гг. 1988
books_djvu_research_julio_j01.docx,"Джулио Ю. Фашистская Италия; Шесть лет диктатуры черных рубах Ю. Джулио. — Москва; Ленинград Московский рабочий, 1929"
books_djvu_research_kadishev_ab01.docx,"Кадишев А.Б. Интервенция и гражданская война в Закавказье, 1960"
books_djvu_research_kantor_yz02.docx,"Кантор Ю.3. Прибалтика война без правил (1939—1945), 2011"
books_djvu_research_kantorovich_ay01.docx,"Канторович А.Я. Америка в борьбе за Китай, 1935"
books_djvu_research_kaplan_rd01.docx,"Каплан P. Месть географии. Что могут рассказать географические карты о грядущих конфликтах и битве против неизбежного, 2016"
books_djvu_research_karasyov_av01.docx,"Карасёв А.В. Ленинградцы в годы блокады. 1941—1943, 1959"
books_djvu_research_karev_nn01.docx,"Карев Н.Н. Династия штыка и доллара, 1969"
books_djvu_research_karpov_nd02.docx,"Карпов Н.Д. Мятеж главкома Сорокина правда и вымыслы, 2006"
books_djvu_research_karsai_e01.docx,"Каршаи Э. От логова в Берхтесгадене до бункера в Берлине, 1968"
books_djvu_research_kartsov_voenskiy01.docx,"Карцов Ю. С. Военский К. А. Причины войны 1812 года Ю. Карцов и К. Военский. — Санкт-Петербург; тип. А.Ф. Штольценбурга, 1911. — XIV, 115 с.; 23."
books_djvu_research_karyshkovskiy_po01.docx,"Карышковский П. О. Восстание Спартака. — Москва; Госполитиздат, 1956; ил.; 20 см.— 100 000 экз. — 70 коп."
books_djvu_research_kashin_rg01.docx,"Кашин Р.Г. Американский вариант коричневой чумы нацистский опыт на службе реакции, 1984"
books_djvu_research_kashirin_vb01.docx,"Каширин В.Б. Дозорные на Балканах Русская военная разведка в странах Балканского полуострова накануне и в годы Первой мировой войны, 2014"
books_djvu_research_kim_mt01.docx,"Ким М.Т. Корейские интернационалисты в борьбе за власть Советов на Дальнем Востоке (1918-1922), 1979"
books_djvu_research_kiselyov_vk01.docx,"Киселев В.К. Об этом молчали сводки, 2003"
books_djvu_research_kissinger_ga01.docx,"Киссингер Г.А. Ядерное оружие и внешняя политика, 1959"
books_djvu_research_kitanina_tm01.docx,"Китанина Т.М. Военно-инфляционные концерны в России 1914-1917 гг. Концерн Путилова — Стахеева — Батолина, 1969"
books_djvu_research_kitanina_tm02.docx,"Китанина Т.М. Война, хлеб и революция (Продовольственный вопрос в России, 1914 — октябрь 1917 г.), 1985"
books_djvu_research_klevanskiy_ah01.docx,"Клеванский А. Х. Чехословацкие интернационалисты и проданный корпус Чехословацкие политические организации и воинские формирования в России; 1914-1921 гг. А. Х. Клеванский; Акад. наук СССР, Ин-т славяноведения. — Москва; Наука, 1965"
books_djvu_research_knorin_vg01.docx,"Кнорин В.Г. 1917 год в Белоруссии и на Западном фронте, 1925"
books_djvu_research_kolmogorov_ns01.docx,"Колмогоров Н.С. Красные мадьяры, 1970"
books_djvu_research_kolotilo_lg01.docx,Колотило Л.Г. Военные моряки Байкала проблемы исторической реконструкции деятельности военных моряков российского флота по физико-географическому изучению и освоению озера Байкал в XVIII—XX вв. 2004
books_djvu_research_kolyubakin_bm01.docx,Колюбакин Б.М. Воспоминания офицера Кобулетского отряда в кампанию 1877–78 гг. 1897
books_djvu_research_kondakova_ni01.docx,Кондакова Н.И. Идеологическая победа над фашизмом 1941–1945 гг. 1982
books_djvu_research_kondratyev_nd(2)01.docx,"Кондратьев Н.Д. Начдив Владимир Азин, 1968"
books_djvu_research_kopylov_vr01.docx,"Копылов В.Р. Зарубежные интернационалисты в Октябрьской революции, 1977"
books_djvu_research_koretskiy_vi01.docx,"Корецкий В.И. Формирование крепостного права и первая Крестьянская война в России, 1975"
books_djvu_research_kormilitsyn_sv01.docx,"Кормилицын С.В. Орден СС. Иезуиты империи. О чем не принято говорить, 2008"
books_djvu_research_kormilitsyn_sv02.docx,"Кормилицын С.В. Сталин против Гитлера поэт против художника, 2008"
books_djvu_research_kormilitsyna_eg01.docx,"Кормилицына Е.Г. Йозеф Геббельс. Особенности нацистского пиара, 2011"
books_djvu_research_kornilov_aa01.docx,"Корнилов А.А. Между войной и миром, 1994"
books_djvu_research_korolyova_ng01.docx,Королева Н.Г. Первая российская революция и царизм Совет министров России в 1905-1907 гг. 1982
books_djvu_research_korotkov_vyrodov_kartashov01.docx,"Коротков Г. И. Выродов И. Я. Карташев Н. Т. Большая ложь о войне; Критика новейшей буржуазной историографии второй мировой войны Под ред. и с предисл. В.А. Секистова. — Москва; Воениздат, 1971"
books_djvu_research_korovikov_vi01.docx,"Коровиков В.И. Эфиопия — революции годы, 1979"
books_djvu_research_korshunov_ea02.docx,"Коршунов Е.А. Псы войны. Кому они служат (Досье, которое рано сдавать в архив), 1979"
books_djvu_research_kosarev_ag01.docx,"Косарев А.Г. Клады Отечественной войны, 2012"
books_djvu_research_koshkin_aa01.docx,"Кошкин А.А. Крах стратегии спелой хурмы Военная политика Японии в отношении СССР, 1931-1945 гг. 1989"
books_djvu_research_koval_mv01.docx,"Коваль М.В. Борьба населения Украины против фашистского рабства, 1979"
books_djvu_research_kral_v01.docx,"Краль В. Дни, которые потрясли Чехословакию, 1980"
books_djvu_research_krasnopyorov_vm01.docx,"Красноперов В.М. Подпольщики Бухенвальда, 1960"
books_djvu_research_krastyn_yp01.docx,"Крастынь Я.П. Революционная борьба крестьян в России в годы империалистической войны (1914-1916 гг.), 1932"
books_djvu_research_kravchuk_a01.docx,"Кравчук А. Троянская война. Миф и история, 1991"
books_djvu_research_kuchiev_totoev_galtsev01.docx,"Кучиев В.Д. Тотоев М.С. Гальцев В.С. Октябрьская революция и гражданская война в Северной Осетии, 1973"
books_djvu_research_kuhnrich_h01.docx,"Кюнрих X. КПГ в борьбе против фашистской диктатуры (1933—1945) Пер. с нем. Предисл. А. А. Галкина. — М. Прогресс, 1986"
books_djvu_research_kulbakin_vd01.docx,"Кульбакин В. Д. Милитаризация в Германии в 1928-1930 годах. — Москва Госполитиздат, 1954"
books_djvu_research_kunina_ae01.docx,Кунина А.Е. Провал американских планов завоевания мирового господства в 1917-1920 гг. 1954
books_djvu_research_kurenkov_ga01.docx,"Куренков Г.А. От конспирации к секретности. Защита партийно-государственной тайны в РКП (б)-ВКП (б). 1918-1941 гг. , 2015"
books_djvu_research_kuzmin_av201.docx,"Кузьмин А.В. На пути в Москву очерки генеалогии военно-служилой знати Северо-Восточной Руси в XIII — середине XV в, 2014"
books_djvu_research_kuzmin_st01.docx,"Кузьмин С.Т. Сроку давности не подлежит, 1985"
books_djvu_research_kuznets_ul01.docx,"Кузнец Ю.Л. Вступление США во Вторую Мировую войну, 1962"
books_djvu_research_kuznetz_ul02.docx,"Кузнец Ю.Л. От Перл-Харбора до Потсдама Очерк внешней политики США, 1970"
books_djvu_research_lamov_lm01.docx,"Ламов Л.М. Польша и ее армия, 1937"
books_djvu_research_lan_vi02.docx,"Лан В.И. США в военные и послевоенные годы, 1978"
books_djvu_research_laverychev_vy01.docx,"Лаверычев В.Я. Военный государственно-монополистический капитализм в России, 1988"
books_djvu_research_lebedev_solodovnikov01.docx,"Лебедев А. К. Солодовников А. В. Василий Васильевич Верещагин. — Ленинград. Художник РСФСР, 1987"
books_djvu_research_lebedev_vv01.docx,"Лебедев В.В. Русско-американские экономические отношения. (1900-1917 гг.), 1964"
books_djvu_research_levin_id01.docx,"Левин И.Д. Подготовка войны на Арабском Востоке, 1937"
books_djvu_research_levshin_bv01.docx,"Левшин Б.В. Советская наука в годы Великой Отечественной войны, 1983"
books_djvu_research_lipatov_z01.docx,"Липатов З. Растерзанная и разграбленная Югославия, 1941"
books_djvu_research_liptai_e01.docx,"Липтаи Э. Венгерская Советская республика, 1970"
books_djvu_research_lisovsky_pa01.docx,"Лисовский П.А. Абиссинская авантюра итальянского фашизма, 1936"
books_djvu_research_listov_zhukov01.docx,"Листов В.В. Жуков В.Г. Тайная война против революционной Кубы, 1966"
books_djvu_research_livshitz_ud01.docx,"Лившиц Ю.Д. Японский пролетариат и война в Китае, 1940"
books_djvu_research_lomako_pf01.docx,"Ломако П.Ф. Цветная металлургия в годы Великой Отечественной войны, 1995"
books_djvu_research_lopuhov_br01.docx,Лопухов Б.Р. Неофашизм опасность для мира. 1985
books_djvu_research_lota_vi01.docx,"Лота В.И. За гранью возможного Военная разведка России на Дальнем Востоке, 1918–1945 гг. 2008"
books_djvu_research_lozunko_sv01.docx,"Лозунько С. В. Уродливое детище Версаля; из-за которого произошла Вторая мировая война Сергей Лозунько. — Киев; Еженедельник 2000; Довiра, 2011"
books_djvu_research_luchitskaya_si01.docx,"Лучицкая С.И. Образ Другого мусульмане в хрониках крестовых походов, 2001"
books_djvu_research_luchitskaya_si02.docx,"Лучицкая С.И. Крестовые походы. Идея и реальность, 2019"
books_djvu_research_lyu_d01.docx,Лю Д. История американской агрессии в Китае; Краткий очерк Пер. с кит. Д.Н. Зильберг и К.А. Крутикова; Ред. и предисл. Д.Н. Никифорова. — 2-е изд. перераб. и доп. — Москва; Изд-во иностр. лит. 1953
books_djvu_research_maevskiy_iv01.docx,"Маевский И.В. Экономика русской промышленности в условиях первой мировой войны, 1957"
books_djvu_research_makarov_i01.docx,"Макаров И. Выстрелы в Сараево. Кто начал Большую войну, 2014"
books_djvu_research_makarov_tyurin01.docx,"Макаров В.Г. Тюрин А.В. Смерш война в эфире, 1942-1945, 2018"
books_djvu_research_malcuzynski_k01.docx,"Малцужиньский К. Преступники не хотят признать своей вины, 1979"
books_djvu_research_malkin_sg01.docx,Малкин С.Г. Мятежный край его величества британское военное присутствие в Горной Шотландии в 1715—1745 гг. 2011
books_djvu_research_malkov_vl01.docx,"Малов В. Рыцари, 2004"
books_djvu_research_manakov_na01.docx,"Манаков Н.А. В кольце блокады Хозяйство и быт осажденного Ленинграда, 1961"
books_djvu_research_martynov_av01.docx,"Мартынов А.В. По обе стороны правды. Власовское движение и отечественная коллаборация, 2014"
books_djvu_research_mashin_yakovlev01.docx,"Машин В.В. Яковлев А.И. Персидский залив в планах и политике Запада, 1985"
books_djvu_research_mavrodi_vi01.docx,"Мавроди В.И. Коммунисты Донбасса в борьбе за восстановление тяжелой промышленности в годы Великой Отечественной войны (1943-1945 гг.), 1962"
books_djvu_research_mayzel_bn01.docx,"Майзель Б.Н. Варварское разрушение Герники, 1937"
books_djvu_research_mazov_sv01.docx,"Мазов С.В. Холодная война в сердце Африки. СССР и конголезский кризис, 1960-1964, 2015"
books_djvu_research_medvedko_li01.docx,"Медведко Л.И. К востоку и западу от Суэца (Закат колониализма и маневры неоколониализма на Арабском Востоке), 1980"
books_djvu_research_medvedko_li02.docx,"Медведко Л.И. .Этот Ближний бурлящий Восток Документальное повествование, 1985"
books_djvu_research_melchin_ai01.docx,"Мельчин А.И. Американская интервенция на советском Дальнем Востоке в 1918-1920 годах, 1951"
books_djvu_research_melnikov_chyornaya04.docx,"Мельников Д.Е. Чёрная Л.Б. Империя смерти Аппарат насилия в нацистской Германии, 1933–1945, 1989"
books_djvu_research_melnikov_um01.docx,"Мельников Ю.М. От Потсдама к Гуаму Очерки американской дипломатии, 1974"
books_djvu_research_menshikov_ menshikov01.docx,Меньшиков В.М. Меньшиков П.В. Тихая оккупация. 1983
books_djvu_research_migolatyev_aa01.docx,"Миголатьев А.А. Империализм ставка на войну, 1985"
books_djvu_research_milos_m01.docx,"Марко М. Психологическая война и чехословацкий эксперимент Текст; Пер. со словац. Авт. предисл. д-р ист. наук А. Х. Клеванский; Коммент. Т. И. Комковой; АН СССР. Ин-т славяноведения и балканистики. — Москва; Наука, 1972"
books_djvu_research_minaev_vn01.docx,"Минаев В.Н. Подрывная деятельность германского фашизма на Ближнем Востоке, 1942"
books_djvu_research_minasyan_nm01.docx,"Минасян Н.М. Международные преступления третьего рейха, 1977"
books_djvu_research_mirskiy_zy01.docx,"Мирский З.Я. Бурлят воды Меконга, 1964"
books_djvu_research_mityaeva_ev01.docx,Митяева Е.В. Англо-аргентинский конфликт из-за Фолклендских (Мальвинских) островов. 1985
books_djvu_research_morozov_vp01.docx,"Морозов В.П. Исторический подвиг Сталинграда, 1974"
books_djvu_research_movchanyuk_pm01.docx,Мовчанюк П.М. Яванская народная война. 1825-1830 гг. 1969
books_djvu_research_muratov_hi02.docx,"Муратов X. И. Крестьянская война под предводительством Е. И. Пугачева (1773—1775) Пособие для учащихся. — 2-е изд. дораб. и доп. — М. Просвещение, 1980.— 175 с. ил. — 100 000 экз. — 30 к."
books_djvu_research_narochnitskaya_li01.docx,"Нарочницкая Л.И. Россия и войны Пруссии в 60-х годах XIX в. за объединение Германии сверху, 1960"
books_djvu_research_nekrich_am02.docx,"Некрич А.М. Политика английского империализма в Европе (октябрь 1938 — сентябрь 1939), 1955"
books_djvu_research_nekrich_am04.docx,"Некрич А.М. Война, которую назвали странной, 1961"
books_djvu_research_neshumov_ua01.docx,"Нешумов Ю.А. Границы Афганистана трагедия и уроки, 2006"
books_djvu_research_nicolson_g01.docx,Никольсон Г. Как делался мир в 1919 г. 1945
books_djvu_research_nikolaev_pa02.docx,"Николаев П.А. Зловещий альянс Советология на службе психологической войны, 1980"
books_djvu_research_nikonov_va01.docx,"Никонов В.А. Афера иран-контрас, 1987"
books_djvu_research_noskov_am02.docx,"Носков А.М. Скандинавский плацдарм во второй мировой войне, 1977"
books_djvu_research_novikova_lg01.docx,"Новикова Л.Г. Провинциальная контрреволюция белое движение и гражданская война на русском Севере, 1917-1920, 2011"
books_djvu_research_novogrudsky_dunaevsky01.docx,"Новогрудский Г.С. Дунаевский А.М. Товарищи китайские бойцы, 1959"
books_djvu_research_ohlyabinin_sd01.docx,"Охлябинин С.Д. Повседневная жизнь Русской армии во времена суворовских войн, 2004"
books_djvu_research_omelyanenko_iy01.docx,Омельяненко И.Я. Коммунисты Донбасса в Великой Отечественной войне Из истории Сталинской областной партийной организации периода Великой Отечественной войны Советского Союза 1941-1945 гг. 1959
books_djvu_research_oskin_mv03.docx,Оськин М.В. Главнокомандующие фронтами и заговор 1917 г. 2016
books_djvu_research_ovsyanyi_id02.docx,"Овсяный И.Д. 1939 последние недели мира Как была развязана империалистами вторая мировая война, 1981"
books_djvu_research_ozolin_ai01.docx,"Озолин А.И. Из истории гуситского революционного движения, 1962"
books_djvu_research_pantsov_av01.docx,"Панцов А.В. Тайная история советско-китайских отношений. Большевики и китайская революция (1919—1927), 2001"
books_djvu_research_pavlov_ya01.docx,"Павлов Я.С. Советско-германские договоры 1939—1941 годов трагедия тайных сделок, 1996"
books_djvu_research_pechatnov_vo01.docx,"Печатнов В.О. Сталин, Рузвельт, Трумэн СССР и США в 1940-х гг. Документальные очерки, 2006"
books_djvu_research_peretolchin_du02.docx,"Перетолчин Д.Ю. Мировые элиты и Британский рейх во Второй мировой войне, 2015"
books_djvu_research_perlo_v01.docx,"Перло В. Милитаризм и промышленность Военные прибыли в век ракетно-ядерного оружия, 1963"
books_djvu_research_perov_l01.docx,"Перов Л. Американская агрессия в Корее, 1951"
books_djvu_research_pertsev_levykin01.docx,"Перцев П.П. Левыкин П.И. Экономика СССР в годы Великой Отечественной войны, 1985"
books_djvu_research_peters_ia01.docx,"Петерс И.А. СССР, Чехословакия и европейская политика накануне Мюнхена, 1971"
books_djvu_research_petrosyan_ie01.docx,"Петросян И.Е. Янычары в Османской империи. Государство и войны (XV—начало XVII в.), 2019"
books_djvu_research_pinchenkov_as01.docx,"Пинченков Л.С. Ржевская дуга генерала Белова, 2013"
books_djvu_research_pipiya_gv01.docx,Пипия Г.В. Германский империализм в Закавказье в 1910-1918 гг. 1978
books_djvu_research_platoshkin_nn02.docx,"Платошкин Н.Н. Сандинистская революция в Никарагуа. Предыстория и последствия, 2015"
books_djvu_research_plotnikov_if05.docx,"Плотников И.Ф. В тылу врага Большевистское подполье Уфимской губернии (1918-1919), 1971"
books_djvu_research_podlesnyi_pt01.docx,"Подлесный П.Т. СССР и США 50 лет дипломатических отношений, 1983"
books_djvu_research_podlipskiy_am01.docx,"Подлипский А.М. Возмездие судебный процесс над немецко-фашистскими преступниками в Витебске, 2013"
books_djvu_research_polikarpov_vd01.docx,Поликарпов В.Д. Военная контрреволюция в России. 1905—1917 гг. 1989
books_djvu_research_poltorak_ai04.docx,"Полторак А.И. Под судом фашизм (Нюрнбергский процесс), 1966"
books_djvu_research_popov_na01.docx,"Попов Н.А. Они с нами сражались за власть Советов Китайские добровольцы на фронтах гражданской войны в России (1918-1922), 1959"
books_djvu_research_pozdeeva_lv01.docx,"Поздеева Л.В. Англия и ремилитаризация Германии. 1933-1936, 1956"
books_djvu_research_pozdeeva_lv02.docx,"Поздеева Л.В. Англо-американские отношения в годы второй мировой войны 1941–1945, 1969"
books_djvu_research_primakov_em01.docx,"Примаков Е.М. Анатомия ближневосточного конфликта, 1978"
books_djvu_research_primakov_em02.docx,"Примаков Е.М. История одного сговора (ближневосточная политика США в 70-е — начале 80-х гг.), 1985"
books_djvu_research_pushkaryova_im01.docx,"Пушкарева И. М. Февральская буржуазно-демократическая революция 1917 г. в России И. М. Пушкарева. — Москва Наука, 1982"
books_djvu_research_putyatin_au01.docx,"Путятин А.Ю. Огнем и мечом Россия между польским орлом и шведским львом, 1512-1634 гг. 2014"
books_djvu_research_pyadyshev_bd01.docx,"Пядышев Б. Д. Военно-промышленный комплекс США. — Москва; Воениздат, 1974"
books_djvu_research_pyadyshev_bd02.docx,"Пядышев Б. Д. Опасность милитаризм в политике, экономике и идеологии США Б. Д. Пядышев. — Москва; Воениздат, 1981"
books_djvu_research_pyadyshev_bd03.docx,"Пядышев Б. Д. Третья мировая — в бестселлерах и не только Отв. ред. В.А. Александров. — М.; Наука, 1985"
books_djvu_research_pyankevich_vl01.docx,"Пянкевич В. Л. Люди жили слухами; неформальное коммуникативное пространство блокадного Ленинграда В. Л. Пянкевич. — Санкт-Петербург; Владимир Даль, 2014"
books_djvu_research_rabinovich_a01.docx,"Рабинович А. Большевики приходят к власти Революция 1917 года в Петрограде, 1989"
books_djvu_research_raginskiy_mu01.docx,"Рагинский М.Ю. Милитаристы на скамье подсудимых По материалам Токийского и Хабаровского процессов, 1985"
books_djvu_research_raginskiy_rozenblit01.docx,"Рагинский М.Ю. Розенблит С.Я. Международный процесс главных японских военных преступников, 1950"
books_djvu_research_romanko_ov07.docx,"Романько О.В. Крым в период немецкой оккупации. Национальные отношения, коллаборационизм и партизанское движение. 1941-1944, 2014"
books_djvu_research_rothstein_a01.docx,Ротштейн Э. Когда Англия вторглась в Советскую Россию. 1982
books_djvu_research_rowan_rw02.docx,"Роуэн Р.У. История секретных служб Из истории разведки, 1946"
books_djvu_research_rozanov_gl04.docx,"Розанов Г.Л. Крушение фашистской Германии, 1963"
books_djvu_research_rozanov_gl05.docx,"Розанов Г.Л. Уже не секретно, 1981"
books_djvu_research_rubanova_ii01.docx,Рубанова И.И. Польское кино Фильмы о войне и оккупации. 1966
books_djvu_research_rudoy_yb01.docx,"Рудой Я.Б. Государственный капитализм в России во время империалистической войны, 1925"
books_djvu_research_runov_zaytsev01.docx,"Рунов В.А. Зайцев Л.А. Совсем другой Сталинград, 2017"
books_djvu_research_rybalkin_ue01.docx,"Рыбалкин Ю.Е. Операция X. Советская военная помощь республиканской Испании (1936-1939), 2000"
books_djvu_research_s_rossia-v-gody-pmv.docx,"Россия в годы Первой мировой войны экономическое положение, социальные процессы, политический кризис отв. ред. Ю. А. Петров. — М. Политическая энциклопедия, 2014"
books_djvu_research_saharov_an03.docx,"Сахаров А.Н. Дипломатия Святослава, 1982"
books_djvu_research_salov_vi01.docx,"Салов В.И. Германская историография Великой Октябрьской социалистической революции, 1960"
books_djvu_research_sanakoev_ib01.docx,"Санакоев И.Б. Истоки и факторы эволюции грузино-осетинского конфликта (1989-1992 гг.), 2004"
books_djvu_research_sanakoev_mp01.docx,"Санакоев М.П. Страницы боевой дружбы (Осетины в русско-турецкой войне 1877-1878 гг.), 1975"
books_djvu_research_saprykin_ym01.docx,"Сапрыкин Ю.М. Ирландское восстание XVII века, 1967"
books_djvu_research_sb_alma-ata-v-period-oktyabrya.docx,"Алма-Ата в период Октября и в годы гражданской войны (1917-1920 гг.), 1949"
books_djvu_research_sb_bog-i-pobeda.docx,"Бог и Победа верующие в великих войнах за Россию. — Москва Эксмо, 2014"
books_djvu_research_sb_bolshaya-voyna-rossii.docx,"Большая война России Социальный порядок, публичная коммуникация и насилие на рубеже царской и советской эпох Сборник статей; ред. К. Бруиш, Н. Катцер. — М. Новое литературное обозрение, 2014"
books_djvu_research_sb_chyornaya-kniga-dop.docx,"Черная книга Институт памяти нацизма и героев сопротивления Яд Вашем, Дополнения — Иерусалим; Тарбут, 1980"
books_djvu_research_sb_chyornaya-kniga-japonii.docx,"Черная книга Японии Современная Япония в агрессивных планах американского империализма, 1973"
books_djvu_research_sb_chyornaya-kniga.docx,"Черная книга Институт памяти нацизма и героев сопротивления Яд Вашем, Израильский институт исследования современного общества; составлена под редакцией Василия Гроссмана, Ильи Эренбурга. — Иерусалим; Тарбут, 1980"
books_djvu_research_sb_deti-voiny.docx,"Дети военной поры, 1984"
books_djvu_research_sb_druzhba-skperlyonnaya-krovyu.docx,"Дружба, скрепленная кровью (сборник воспоминаний китайских товарищей — участников Великой Октябрьской социалистической революции и гражданской войны в СССР), 1959"
books_djvu_research_sb_ecocide-indokitay.docx,"Экоцид в Индокитае; Сборник Сокр. пер. с англ. Л.Г. Быстрова и И.А. Третьяковой; Редакция С.И. Сергеева. — Москва; Прогресс, 1972"
books_djvu_research_sb_fashistskaya-polsha-v-tupike.docx,"Фашистская Польша в тупике, 1938"
books_djvu_research_sb_germanskiy-fashizm-u-vlasti.docx,"Германский фашизм у власти, 1934"
books_djvu_research_sb_harkovsky-univer-v-gody-vov.docx,"Харьковский университет в годы Великой Отечественной войны Ю. И. Журавский, Б. П. Зайцев, Б. К. Мигаль. — Харьков; Выща шк; Изд-во при Харьк. гос. ун-те, 1989."
books_djvu_research_sb_holokost-v-ukraine.docx,"Холокост в Украине Рейхскомиссариат Украина, Губернаторство Транснистрия монография Круглов А. Уманский А. Щупак И. — Днипро Украинский институт изучения Холокоста Ткума; ЧП Лира ЛТД, 2016"
books_djvu_research_sb_internatsionalisty-v-boyah.docx,"Интернационалисты в боях за власть Советов, 1965"
books_djvu_research_sb_internatsionalisty.docx,"Интернационалисты Трудящиеся зарубежных стран — участники борьбы за власть Советов, 1967"
books_djvu_research_sb_kitaiskie-dobrovoltsy-v-boyah-za-sovvlast.docx,"Китайские добровольцы в боях за Советскую власть (1918-1922 гг.), 1961"
books_djvu_research_sb_krestyanskie-voiny-v-rossii-17-18-vekov.docx,"Крестьянские войны в России XVII-XVIII веков проблемы, поиски, решения, 1974"
books_djvu_research_sb_krestyanskie-voiny-v-rossii1966.docx,Крестьянские войны в России XXVII-XVIII вв. 1966
books_djvu_research_sb_ledovoe-poboische.docx,"Ледовое побоище в зеркале эпохи сборник научных работ, посвященный 770-летию битвы на Чудском озере отв. ред. М. Б. Бессуднова. — Липецк, 2013"
books_djvu_research_sb_materialy-po-istorii-pesni-vov.docx,"Материалы по истории песни Великой Отечественной войны, 1953"
books_djvu_research_sb_mezhdunarodnyi-terrorism-i-cru.docx,"Международный терроризм и ЦРУ Документы, свидетельства, факты, 1982"
books_djvu_research_sb_moskva-na-linii-fronta.docx,"Москва на линии фронта Авт.-сост. А.Ю. Бондаренко, Н.Н. Ефимов. — М.; Вече, 2012"
books_djvu_research_sb_moskva-v-otechestvennoy-voyne.docx,"Москва в Отечественной войне 1812 года Материалы научно-практической конференции (Москва, 30-31 августа 2012 г.) Сост. С.И. Добренький. — М. Издательство ГБУ ЦГА Москвы, 2013"
books_djvu_research_sb_muzyka-na-frontah-vov.docx,"Музыка на фронтах Великой Отечественной войны; Статьи. Воспоминания Ред. и вступ. статья Г. Пожидаева; Гос. центр. музей муз. культуры им. М. И. Глинки. — Москва; Музыка, 1970"
books_djvu_research_sb_nsdap.docx,"НСДАП идеология, структура и функции Аникеев А.А. Кольга Г.И. Пуховская Н.Е. — Ставрополь Изд-во С ГУ, 2001"
books_djvu_research_sb_o-partpodolye-v-minske-v-gody-vov.docx,"О партийном подполье в Минске в годы Великой Отечественной войны. (Июнь 1941 — июль 1944 гг.) Ин-т истории партии при ЦК КП Белоруссии. Ин-т истории Акад. наук БССР. — Минск; Госиздат БССР, 1961."
books_djvu_research_sb_oborotni.docx,"Оборотни, 1987"
books_djvu_research_sb_obyknovennyi-fashizm.docx,"Обыкновенный фашизм сборник Киноконцерн Мосфильм и др.; авт.-сост. Михаил Ромм и др.). — Санкт-Петербург; Сеанс, 2006"
books_djvu_research_sb_odessa-zhizn-v-okkupatsii.docx,"Одесса жизнь в оккупации, 1941-1944 Нац. исслед. ун-т Высш. шк. экономики, Фак. истории, Международный центр истории и социологии Второй мировой войны и ее последствий; сост. отв. ред. авт. вступ. ст. О. В. Будницкий. — Москва; РОССПЭН, 2013"
books_djvu_research_sb_oktyabr-v-petrograde.docx,"Октябрь в Петрограде сборник статей, 1933"
books_djvu_research_sb_partia-bolshevikov-v-fevralskoy-revolutsii.docx,"Партия большевиков в Февральской революции 1917 года, 1971"
books_djvu_research_sb_partitura-vtoroy-mirovoy.docx,"Партитура Второй мировой. Кто и когда начал войну Н.А. Нарочницкая, В.М. Фалин и др. — М.; Вече, 2009"
books_djvu_research_sb_petrograd_na-perelome-epoh.docx,"Петроград на переломе эпох. Город и его жители в годы революции и Гражданской войны Яров С.В. и др. — М. Центрполиграф, 2013"
books_djvu_research_sb_podvodnyi-front-holodnoy-voiny.docx,"Подводный фронт холодной войны Сб. — М. АСТ; СПб. Terra Fantastica, 2002"
books_djvu_research_sb_polskoe-rabochee-dvizhenie-v-gody-voyny.docx,"Польское рабочее движение в годы войны и гитлеровской оккупации Сентябрь 1939 г. — январь 1945 г Очерки истории, 1968"
books_djvu_research_sb_pravda-i-lozh-v-istorii-diplomatii.docx,"Правда и ложь в истории дипломатии, 1964"
books_djvu_research_sb_psivoyna.docx,"Психологическая война против мира, 1987"
books_djvu_research_sb_pskov-v-gody-vov.docx,"Псков в годы Великой Отечественной войны, 1981"
books_djvu_research_sb_stalingrad-tsena-pobedy.docx,"Сталинград цена победы. — М.; АСТ; СПб.; Terra Fantastica, 2005"
books_djvu_research_sb_stalingradskaya-bitva.docx,"Сталинградская битва материалы научных конференций. — Волгоград СТ Вале, 1994"
books_djvu_research_sb_tainy-podvodnoy-voiny.docx,"Тайны подводной войны. 1914-1945. — М. Вече, 2012"
books_djvu_research_sb_ural-v-ogne-revolutsii.docx,"Урал в огне революции Пролетарская революция в Пермской губернии, 1967"
