bio_0_djvu_bogomolov_vm01.docx,Богомолов В.М. Красный Дундич. 1988
bio_0_djvu_boguslavsky_lb01.docx,"Богуславский Л.Б. Наши земляки — герои Сталинграда, 1981"
bio_0_djvu_bohanov_an01.docx,"Боханов А.Н. Борис Годунов, 2012"
bio_0_djvu_bohanov_an02.docx,"Боханов А.Н. Царь Алексей Михайлович, 2012"
bio_0_djvu_bohanov_an03.docx,"Боханов А.Н. Николай II, 1997"
bio_0_djvu_bomann-larsen_t01.docx,"Буманн-Ларсен Т. Руал Амундсен, 2005"
bio_0_djvu_bondarenko_au03.docx,"Бондаренко А.Ю. Денис Давыдов, 2012"
bio_0_djvu_bondarenko_vv01.docx,"Бондаренко В.В. Герои Первой мировой, 2013"
bio_0_djvu_borisov_ab1.docx,"Борисов А.Б. Встреча с погибшим другом, 1987"
bio_0_djvu_borisov_na01.docx,"Борисов Н.А. С именем Зои, 1975"
bio_0_djvu_borisov_ns02.docx,"Борисов Н.С. Русские полководцы XIII–XVI веков, 1993"
bio_0_djvu_bortakovsky_tv01.docx,"Бортаковский Т.В. Расстрелянные Герои Советского Союза, 2012"
bio_0_djvu_budakov_vv01.docx,"Будаков В.В. Генерал Снесарев на полях войны и мира, 2014"
bio_0_djvu_chalmaev_va01.docx,"Чалмаев В.А. Малышев, 1981"
bio_0_djvu_cherchesov_ge01.docx,"Черчесов Г.Е. Завещание полководца Штрихи к портрету И. Плиева, 1994"
bio_0_djvu_cherkasov_pp01.docx,"Черкасов П.П. Кардинал Ришелье, 1990"
bio_0_djvu_chernyavsky_gi01.docx,"Чернявский Г.И. Лев Троцкий, 2010"
bio_0_djvu_cherushev_ns03.docx,"Черушев Н.С, Черушев Ю.Н. Расстрелянная элита РККА (командармы 1-го и 2-го рангов, комкоры, комдивы и им равные) 1937-1941. Биографический словарь, 2012"
bio_0_djvu_coote_s.docx,"Кут С. Августейший мастер выживания. Жизнь Карла II, 2004"
bio_0_djvu_corti_ec01.docx,"Корти Э.Ц. Елизавета I Австрийская, 1998"
bio_0_djvu_danilov_yn02.docx,"Данилов Ю.Н. Великий князь Николай Николаевич, 1930"
bio_0_djvu_daynes_vo03.docx,"Дайнес В.О. Маршал Конев, 2014"
bio_0_djvu_deschod_e01.docx,"Дешодт Э. Людовик XIV, 2011"
bio_0_djvu_doherty_pc01.docx,"Догерти П. Александр Великий. Смерть бога, 2005"
bio_0_djvu_douglas_dc01.docx,"Дуглас Д. Вильгельм Завоеватель. Викинг на английском престоле, 2005"
bio_0_djvu_dubrovin_nf1.docx,"Дубровин Н.Ф. Николай Михайлович Пржевальский, 1890"
bio_0_djvu_dunaevsky_am01.docx,"Дунаевский А.М. Олеко Дундич, 1960"
bio_0_djvu_dzagurova_gt01.docx,"Дзагурова Г.Т. Осетины в войнах России, 1995"
bio_0_djvu_erofeev_yn01.docx,"Ерофеев Ю.Н. Берг Аксель Иванович. Жизнь и деятельность, 2007"
bio_0_djvu_ershov_ja01.docx,"Ершов Я.А. Пётр Зайченко, 1982"
bio_0_djvu_fasoli_g01.docx,"Фазоли Д. Короли Италии (888-962 гг.), 2007"
bio_0_djvu_fedorovich_aa.docx,"Федорович А.А. Генерал Каппель, 1967"
bio_0_djvu_fedyuk_vp01.docx,"Федюк В.П. Керенский, 2009"
bio_0_djvu_filyushkin_ai01.docx,"Филюшкин А.И. Василий III, 2010"
bio_0_djvu_filyushkin_ai02.docx,"Филюшкин А.И. Андрей Курбский, 2010"
bio_0_djvu_fischer_l01-1.docx,"Фишер Л. Жизнь Ленина В 2 томах. Том 1, 1997"
bio_0_djvu_fischer_l01-2.docx,"Фишер Л. Жизнь Ленина В 2 томах. Том 2, 1997"
bio_0_djvu_florya_bn01.docx,"Флоря Б.H. Иван Грозный, 1999"
bio_0_djvu_fraser_d01.docx,"Фрейзер Д. Фридрих Великий, 2003"
bio_0_djvu_galenovich_ym01.docx,"Галенович Ю.М. Цзян Чжунчжэн, или Неизвестный Чан Кайши, 2000"
bio_0_djvu_ganin_av01.docx,"Ганин А.В. Атаман А. И. Дутов, 2006"
bio_0_djvu_ganin_av04.docx,"Ганин A.B. Черногорец на русской службе генерал Бакич, 2004"
bio_0_djvu_ganin_av05.docx,"Ганин А.В. Болгарин, защитивший Россию судьба Йордана Пехливанова, 2012"
bio_0_djvu_gastello_nf01.docx,"Гастелло Н.Ф. Рассказ о брате, 1977"
bio_0_djvu_gevorkyan_ev01.docx,"Геворкян Э.В. Цезарь, 2011"
bio_0_djvu_glavan_zt01.docx,"Главан З.Т. Слово о сыновьях, 1970"
bio_0_djvu_goland_zheltov01.docx,"Голанд В.Я. Желтов В.И. Владимир Молодцов, 1974"
bio_0_djvu_goldsworthy_a01.docx,"Голдсуорти А. Во имя Рима. Люди, которые создали империю, 2006"
bio_0_djvu_goltsev_va01.docx,"Гольцев В.А. Сибирская Вандея. Судьба атамана Анненкова, 2014"
bio_0_djvu_gorelik_ge01.docx,Горелик Г.Е. Андрей Сахаров. Наука и свобода. 2004
bio_0_djvu_gottendorf_e01.docx,Готтендорф Е. Герман Геринг — Железный рыцарь и проклятие свастики. 2000
bio_0_djvu_grant_m01.docx,Грант М. Римские императоры. Биографический справочник правителей Римской империи 31 г. до н. э. — 476 г. н. э. 1998
bio_0_djvu_grot_jk01.docx,"Грот Я.К. Жизнь Державина, 1997"
bio_0_djvu_gubarev_vk01.docx,"Губарев В.К. Фрэнсис Дрейк, 2013"
bio_0_djvu_gubelman_mi01.docx,"Губельман М.И. Лазо, 1956"
bio_0_djvu_hadzhiev_rb01.docx,"Хаджиев Р.Б. Жизнь и смерть генерала Корнилова, 2014"
bio_0_djvu_haigh_c01.docx,"Хейг К. Елизавета I Английская, 1997"
bio_0_djvu_hofer_m01.docx,"Хёфер M. Император Генрих II, 2006"
bio_0_djvu_horobryh_am01.docx,"Хоробрых А.М. Главный маршал авиации А.А. Новиков, 1989"
bio_0_djvu_ionov_pp01.docx,"Ионов П.П. Катюши Казбека Карсанова, 1990"
bio_0_djvu_ismail-zade_di01.docx,"Исмаил-Заде Д.И. И. И. Воронцов-Дашков. Кавказский наместник, 2005"
bio_0_djvu_itenberg_tvardovskaya.docx,"Итенберг B.C. Твардовская В.А. Граф М.Т. Лорис-Меликов и его современники, 2004"
bio_0_djvu_itskovich_sn01.docx,"Ицкович С.Н. Муся Пинкензон, 1982"
bio_0_djvu_ivanov_vm01.docx,"Иванов В.M. Маршал M. H. Тухачевский, 1990"
bio_0_djvu_kalinin_makarenko01.docx,"Калинин В.В.; Макаренко Д.Г. Герои подвигов на Харьковщине, 1970"
bio_0_djvu_kaneva_k01.docx,"Канева К. Рыцарь Балкан. Граф Н.П. Игнатьев, 2006"
bio_0_djvu_kapchenko_ni01-1.docx,"Капченко Н.И. Политическая биография Сталина. В 3-х томах. Том 1, 2004"
bio_0_djvu_kapchenko_ni01-2.docx,"Капченко Н.И. Политическая биография Сталина. В 3-х томах. Том 2, 2004"
bio_0_djvu_kapchenko_ni01-3.docx,"Капченко Н.И. Политическая биография Сталина. В 3-х томах. Том 3, 2004"
bio_0_djvu_karev_ga01.docx,"Карев Г.А. Твой сын, Одесса! (Героическая повесть), 1972"
bio_0_djvu_kargalov_vv01.docx,Каргалов В.В. Полководцы X-XVI вв. 1989
bio_0_djvu_karpov_au01.docx,"Карпов В.В. Маршал Жуков, его соратники и противники в годы войны и мира. Книга I, 1991"
bio_0_djvu_karpov_vv04.docx,"Карпов В.В. Генерал армии Черняховский, 2014"
